Region,Operator,Type,Channel,Freq,Band,dl_freq_first,dl_freq_last,dl_width,dl_channel_first,dl_channel_last
A,A,LTE,850,1955.000000,2,1930.000000,1990.000000,60.000000,600,1199
A,A,LTE,5330,763.000000,14,758.000000,768.000000,10.000000,5280,5379
A,A,LTE,66936,2160.000000,66,2110.000000,2200.000000,90.000000,66436,67335
A,A,LTE,66486,2115.000000,66,2110.000000,2200.000000,90.000000,66436,67335
A,A,LTE,66661,2132.500000,66,2110.000000,2200.000000,90.000000,66436,67335
A,A,LTE,52941,5765.100000,46,5150.000000,5925.000000,775.000000,46790,54539
A,A,LTE,52740,5745.000000,46,5150.000000,5925.000000,775.000000,46790,54539
A,A,LTE,53139,5784.900000,46,5150.000000,5925.000000,775.000000,46790,54539
A,A,LTE,5110,739.000000,12,729.000000,746.000000,17.000000,5010,5179
A,A,LTE,9820,2355.000000,30,2350.000000,2360.000000,10.000000,9770,9869
A,A,LTE,53341,5805.100000,46,5150.000000,5925.000000,775.000000,46790,54539
A,A,LTE,53539,5824.900000,46,5150.000000,5925.000000,775.000000,46790,54539
A,A,LTE,53140,5785.000000,46,5150.000000,5925.000000,775.000000,46790,54539
A,A,LTE,52940,5765.000000,46,5150.000000,5925.000000,775.000000,46790,54539
A,A,LTE,53141,5785.100000,46,5150.000000,5925.000000,775.000000,46790,54539
A,A,LTE,53339,5804.900000,46,5150.000000,5925.000000,775.000000,46790,54539
A,A,LTE,9840,2357.000000,30,2350.000000,2360.000000,10.000000,9770,9869
A,A,MW,2259995,38849.760000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2261661,38949.720000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2263327,39049.680000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2264993,39149.640000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2259999,38850.000000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2261665,38949.960000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2271657,39549.480000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2266659,39249.600000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2268325,39349.560000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2269991,39449.520000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,Sub6,174300,871.500000,n5,869.000000,894.000000,25.000000,173800,178800
A,A,Sub6,174270,871.350000,n5,869.000000,894.000000,25.000000,173800,178800
A,A,Sub6,423150,2115.750000,n66,2110.000000,2200.000000,90.000000,422000,440000
A,A,LTE,2000,2115.000000,4,2110.000000,2155.000000,45.000000,1950,2399
A,A,LTE,2175,2132.500000,4,2110.000000,2155.000000,45.000000,1950,2399
A,A,LTE,2425,871.500000,5,869.000000,894.000000,25.000000,2400,2649
A,A,LTE,489,2158.900000,1,2110.000000,2170.000000,60.000000,0,599
A,A,MW,2269995,39449.760000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2264997,39149.880000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2271661,39549.720000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2266663,39249.840000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2263331,39049.920000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2268329,39349.800000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,LTE,67086,2175.000000,66,2110.000000,2200.000000,90.000000,66436,67335
A,A,LTE,1025,1972.500000,2,1930.000000,1990.000000,60.000000,600,1199
A,A,LTE,66686,2135.000000,66,2110.000000,2200.000000,90.000000,66436,67335
A,A,LTE,675,1937.500000,2,1930.000000,1990.000000,60.000000,600,1199
A,A,MW,2256663,38649.840000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,MW,2258329,38749.800000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,LTE,2200,2135.000000,4,2110.000000,2155.000000,45.000000,1950,2399
A,A,LTE,49,2114.900000,1,2110.000000,2170.000000,60.000000,0,599
A,A,LTE,451,2155.100000,1,2110.000000,2170.000000,60.000000,0,599
A,A,LTE,203,2130.300000,1,2110.000000,2170.000000,60.000000,0,599
A,A,LTE,1150,1985.000000,2,1930.000000,1990.000000,60.000000,600,1199
A,A,MW,2256667,38650.080000,n260,37000.000000,40000.000000,3000.000000,2229166,2279165
A,A,LTE,76,2117.600000,1,2110.000000,2170.000000,60.000000,0,599
