Region,Operator,Type,Freq,Band
V-R6,V,MW,2078331,
V-R6,V,MW,2083329,
V-R6,V,Sub6,176930,
V-R6,V,LTE,66836,
V-R6,V,LTE,66586,
V-R6,V,LTE,1100,
V-R6,V,LTE,5230,
V-R6,V,LTE,67086,
V-R6,V,LTE,47090,
V-R6,V,LTE,47489,
V-R6,V,LTE,47291,
V-R6,V,LTE,2350,
V-R6,V,LTE,2100,
V-R6,V,LTE,56144,
V-R6,V,LTE,56540,
V-R6,V,LTE,56342,
V-R6,V,LTE,52740,
V-R6,V,LTE,52941,
V-R6,V,LTE,53139,
V-R6,V,LTE,55744,
V-R6,V,LTE,55942,
V-R6,V,LTE,56140,
V-R6,V,LTE,56442,
V-R6,V,LTE,56640,
V-R6,V,LTE,56293,
V-R6,V,LTE,55344,
V-R6,V,LTE,55542,
V-R6,V,LTE,55740,
V-R6,V,LTE,56040,
V-R6,V,LTE,55644,
V-R6,V,LTE,55842,
V-R6,V,LTE,56090,
V-R6,V,LTE,55642,
V-R6,V,LTE,55840,
V-R6,V,LTE,55940,
V-R6,V,LTE,55742,
V-R6,V,LTE,56190,
V-R6,V,LTE,2561,
V-R6,V,LTE,53339,
V-R6,V,LTE,53141,
V-R6,V,LTE,52940,
V-R6,V,LTE,55544,
