grid_lat,grid_lon,total_sample,mw_sample,mw_ratio,sub6_sample,sub6_ratio,5g_sample,5g_sample,lte_sample,lte_ratio,total_cs_sample,mw_cs_sample,mw_cs_ratio,sub6_cs_sample,sub6_cs_ratio,5g_cs_sample,5g_cs_sample,lte_cs_sample,lte_cs_ratio
-86.163,39.771,960,0,0.0,0,0.0,0,0.0,960,1.0,11,0,0.0,0,0.0,0,0.0,11,1.0
-86.163,39.7715,5191,0,0.0,0,0.0,0,0.0,5191,1.0,29,0,0.0,0,0.0,0,0.0,29,1.0
-86.163,39.772,487,0,0.0,0,0.0,0,0.0,487,1.0,7,0,0.0,0,0.0,0,0.0,7,1.0
-86.163,39.7725,4330,0,0.0,0,0.0,0,0.0,4330,1.0,7,0,0.0,0,0.0,0,0.0,7,1.0
-86.1625,39.771,378,0,0.0,0,0.0,0,0.0,378,1.0,9,0,0.0,0,0.0,0,0.0,9,1.0
-86.1625,39.7725,2802,0,0.0,0,0.0,0,0.0,2802,1.0,11,0,0.0,0,0.0,0,0.0,11,1.0
-86.162,39.771,951,0,0.0,0,0.0,0,0.0,951,1.0,10,0,0.0,0,0.0,0,0.0,10,1.0
-86.162,39.7725,354,0,0.0,0,0.0,0,0.0,354,1.0,9,0,0.0,0,0.0,0,0.0,9,1.0
-86.1615,39.7655,181,0,0.0,0,0.0,0,0.0,181,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1615,39.766,61,0,0.0,0,0.0,0,0.0,61,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1615,39.7665,46,0,0.0,0,0.0,0,0.0,46,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1615,39.767,132,0,0.0,0,0.0,0,0.0,132,1.0,4,0,0.0,0,0.0,0,0.0,4,1.0
-86.1615,39.7675,78,0,0.0,0,0.0,0,0.0,78,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1615,39.768,42,0,0.0,0,0.0,0,0.0,42,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1615,39.7685,39,0,0.0,0,0.0,0,0.0,39,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1615,39.769,40,0,0.0,0,0.0,0,0.0,40,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1615,39.7695,47,0,0.0,0,0.0,0,0.0,47,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1615,39.77,73,0,0.0,0,0.0,0,0.0,73,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1615,39.7705,45,0,0.0,0,0.0,0,0.0,45,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1615,39.771,3775,0,0.0,0,0.0,0,0.0,3775,1.0,11,0,0.0,0,0.0,0,0.0,11,1.0
-86.1615,39.7715,783,0,0.0,0,0.0,0,0.0,783,1.0,4,0,0.0,0,0.0,0,0.0,4,1.0
-86.1615,39.772,48,0,0.0,0,0.0,0,0.0,48,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1615,39.7725,379,0,0.0,0,0.0,0,0.0,379,1.0,9,0,0.0,0,0.0,0,0.0,9,1.0
-86.161,39.771,440,0,0.0,0,0.0,0,0.0,440,1.0,10,0,0.0,0,0.0,0,0.0,10,1.0
-86.161,39.772,45,0,0.0,0,0.0,0,0.0,45,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.161,39.7725,1220,0,0.0,0,0.0,0,0.0,1220,1.0,14,0,0.0,0,0.0,0,0.0,14,1.0
-86.1605,39.771,412,0,0.0,0,0.0,0,0.0,412,1.0,10,0,0.0,0,0.0,0,0.0,10,1.0
-86.1605,39.7725,497,0,0.0,0,0.0,0,0.0,497,1.0,10,0,0.0,0,0.0,0,0.0,10,1.0
-86.16,39.7695,10,0,0.0,0,0.0,0,0.0,10,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.16,39.771,544,0,0.0,0,0.0,0,0.0,544,1.0,10,0,0.0,0,0.0,0,0.0,10,1.0
-86.16,39.7725,510,0,0.0,0,0.0,0,0.0,510,1.0,11,0,0.0,0,0.0,0,0.0,11,1.0
-86.1595,39.7655,43,0,0.0,0,0.0,0,0.0,43,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1595,39.766,43,0,0.0,0,0.0,0,0.0,43,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1595,39.7665,153,0,0.0,0,0.0,0,0.0,153,1.0,6,0,0.0,0,0.0,0,0.0,6,1.0
-86.1595,39.767,1116,0,0.0,0,0.0,0,0.0,1116,1.0,4,0,0.0,0,0.0,0,0.0,4,1.0
-86.1595,39.7675,202,0,0.0,0,0.0,0,0.0,202,1.0,4,0,0.0,0,0.0,0,0.0,4,1.0
-86.1595,39.768,615,0,0.0,0,0.0,0,0.0,615,1.0,6,0,0.0,0,0.0,0,0.0,6,1.0
-86.1595,39.7685,155,0,0.0,0,0.0,0,0.0,155,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1595,39.769,156,0,0.0,0,0.0,0,0.0,156,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1595,39.7695,542,0,0.0,0,0.0,0,0.0,542,1.0,4,0,0.0,0,0.0,0,0.0,4,1.0
-86.1595,39.77,158,0,0.0,0,0.0,0,0.0,158,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1595,39.7705,141,0,0.0,0,0.0,0,0.0,141,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1595,39.771,1547,0,0.0,0,0.0,0,0.0,1547,1.0,19,0,0.0,0,0.0,0,0.0,19,1.0
-86.1595,39.7715,688,0,0.0,0,0.0,0,0.0,688,1.0,21,0,0.0,0,0.0,0,0.0,21,1.0
-86.1595,39.772,716,0,0.0,0,0.0,0,0.0,716,1.0,11,0,0.0,0,0.0,0,0.0,11,1.0
-86.1595,39.7725,3467,0,0.0,0,0.0,0,0.0,3467,1.0,33,0,0.0,0,0.0,0,0.0,33,1.0
-86.1595,39.773,91,0,0.0,0,0.0,0,0.0,91,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1595,39.7735,144,0,0.0,0,0.0,0,0.0,144,1.0,4,0,0.0,0,0.0,0,0.0,4,1.0
-86.1595,39.774,174,0,0.0,0,0.0,0,0.0,174,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1595,39.7745,98,0,0.0,0,0.0,0,0.0,98,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1595,39.775,171,0,0.0,0,0.0,0,0.0,171,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1595,39.7755,116,0,0.0,0,0.0,0,0.0,116,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1595,39.776,96,0,0.0,0,0.0,0,0.0,96,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1595,39.7765,88,0,0.0,0,0.0,0,0.0,88,1.0,4,0,0.0,0,0.0,0,0.0,4,1.0
-86.1595,39.777,41,0,0.0,0,0.0,0,0.0,41,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1595,39.7775,24,0,0.0,0,0.0,0,0.0,24,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.159,39.767,153,0,0.0,0,0.0,0,0.0,153,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.159,39.771,44,0,0.0,0,0.0,0,0.0,44,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.159,39.7725,351,0,0.0,0,0.0,0,0.0,351,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.159,39.7765,16,0,0.0,0,0.0,0,0.0,16,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.159,39.777,64,0,0.0,0,0.0,0,0.0,64,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.159,39.7775,197,0,0.0,0,0.0,0,0.0,197,1.0,5,0,0.0,0,0.0,0,0.0,5,1.0
-86.1585,39.767,95,0,0.0,0,0.0,0,0.0,95,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1585,39.771,38,0,0.0,0,0.0,0,0.0,38,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1585,39.7725,36,0,0.0,0,0.0,0,0.0,36,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1585,39.7775,129,0,0.0,0,0.0,0,0.0,129,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.158,39.767,90,0,0.0,0,0.0,0,0.0,90,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.158,39.771,51,0,0.0,0,0.0,0,0.0,51,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.158,39.7725,50,0,0.0,0,0.0,0,0.0,50,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.158,39.7775,199,0,0.0,0,0.0,0,0.0,199,1.0,4,0,0.0,0,0.0,0,0.0,4,1.0
-86.1575,39.767,479,0,0.0,0,0.0,0,0.0,479,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1575,39.771,25,0,0.0,0,0.0,0,0.0,25,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1575,39.7715,51,0,0.0,0,0.0,0,0.0,51,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1575,39.772,237,0,0.0,0,0.0,0,0.0,237,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1575,39.7725,66,0,0.0,0,0.0,0,0.0,66,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1575,39.7775,5058,0,0.0,0,0.0,0,0.0,5058,1.0,30,0,0.0,0,0.0,0,0.0,30,1.0
-86.157,39.7775,41,0,0.0,0,0.0,0,0.0,41,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1565,39.7775,39,0,0.0,0,0.0,0,0.0,39,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.7655,73,0,0.0,0,0.0,0,0.0,73,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.156,39.766,47,0,0.0,0,0.0,0,0.0,47,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.7665,48,0,0.0,0,0.0,0,0.0,48,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.156,39.767,56,0,0.0,0,0.0,0,0.0,56,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.7675,52,0,0.0,0,0.0,0,0.0,52,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.768,55,0,0.0,0,0.0,0,0.0,55,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.156,39.7685,120,0,0.0,0,0.0,0,0.0,120,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.769,50,0,0.0,0,0.0,0,0.0,50,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.7695,53,0,0.0,0,0.0,0,0.0,53,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.77,68,0,0.0,0,0.0,0,0.0,68,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.156,39.7705,44,0,0.0,0,0.0,0,0.0,44,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.156,39.771,72,0,0.0,0,0.0,0,0.0,72,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.7715,62,0,0.0,0,0.0,0,0.0,62,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.772,43,0,0.0,0,0.0,0,0.0,43,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.7725,45,0,0.0,0,0.0,0,0.0,45,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.773,29,0,0.0,0,0.0,0,0.0,29,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.156,39.7775,59,0,0.0,0,0.0,0,0.0,59,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.7655,38,0,0.0,0,0.0,0,0.0,38,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.773,19,0,0.0,0,0.0,0,0.0,19,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.7735,47,0,0.0,0,0.0,0,0.0,47,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.774,50,0,0.0,0,0.0,0,0.0,50,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.7745,46,0,0.0,0,0.0,0,0.0,46,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.775,54,0,0.0,0,0.0,0,0.0,54,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.7755,209,0,0.0,0,0.0,0,0.0,209,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.776,47,0,0.0,0,0.0,0,0.0,47,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.7765,43,0,0.0,0,0.0,0,0.0,43,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.777,48,0,0.0,0,0.0,0,0.0,48,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1555,39.7775,72,0,0.0,0,0.0,0,0.0,72,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.155,39.7655,51,0,0.0,0,0.0,0,0.0,51,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1545,39.7655,591,0,0.0,0,0.0,0,0.0,591,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1545,39.766,549,0,0.0,0,0.0,0,0.0,549,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1545,39.7665,193,0,0.0,0,0.0,0,0.0,193,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1545,39.767,437,0,0.0,0,0.0,0,0.0,437,1.0,7,0,0.0,0,0.0,0,0.0,7,1.0
-86.1545,39.7675,67,0,0.0,0,0.0,0,0.0,67,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.154,39.767,3560,0,0.0,0,0.0,0,0.0,3560,1.0,9,0,0.0,0,0.0,0,0.0,9,1.0
-86.154,39.7675,665,0,0.0,0,0.0,0,0.0,665,1.0,9,0,0.0,0,0.0,0,0.0,9,1.0
-86.154,39.768,746,0,0.0,0,0.0,0,0.0,746,1.0,9,0,0.0,0,0.0,0,0.0,9,1.0
-86.154,39.7685,721,0,0.0,0,0.0,0,0.0,721,1.0,9,0,0.0,0,0.0,0,0.0,9,1.0
-86.154,39.769,1212,0,0.0,0,0.0,0,0.0,1212,1.0,17,0,0.0,0,0.0,0,0.0,17,1.0
-86.154,39.7695,2660,0,0.0,0,0.0,0,0.0,2660,1.0,15,0,0.0,0,0.0,0,0.0,15,1.0
-86.154,39.77,728,0,0.0,0,0.0,0,0.0,728,1.0,6,0,0.0,0,0.0,0,0.0,6,1.0
-86.154,39.7705,913,0,0.0,0,0.0,0,0.0,913,1.0,6,0,0.0,0,0.0,0,0.0,6,1.0
-86.154,39.771,1233,0,0.0,0,0.0,0,0.0,1233,1.0,6,0,0.0,0,0.0,0,0.0,6,1.0
-86.154,39.7715,241,0,0.0,0,0.0,0,0.0,241,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.154,39.772,229,0,0.0,0,0.0,0,0.0,229,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.154,39.7725,205,0,0.0,0,0.0,0,0.0,205,1.0,5,0,0.0,0,0.0,0,0.0,5,1.0
-86.1535,39.767,1014,0,0.0,0,0.0,0,0.0,1014,1.0,8,0,0.0,0,0.0,0,0.0,8,1.0
-86.1535,39.771,369,0,0.0,0,0.0,0,0.0,369,1.0,6,0,0.0,0,0.0,0,0.0,6,1.0
-86.1535,39.7725,125,0,0.0,0,0.0,0,0.0,125,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.153,39.7665,26,0,0.0,0,0.0,0,0.0,26,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.153,39.767,568,0,0.0,0,0.0,0,0.0,568,1.0,10,0,0.0,0,0.0,0,0.0,10,1.0
-86.153,39.771,372,0,0.0,0,0.0,0,0.0,372,1.0,6,0,0.0,0,0.0,0,0.0,6,1.0
-86.153,39.7725,177,0,0.0,0,0.0,0,0.0,177,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.1525,39.7665,54,0,0.0,0,0.0,0,0.0,54,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1525,39.767,1931,0,0.0,0,0.0,0,0.0,1931,1.0,25,0,0.0,0,0.0,0,0.0,25,1.0
-86.1525,39.7675,778,0,0.0,0,0.0,0,0.0,778,1.0,18,0,0.0,0,0.0,0,0.0,18,1.0
-86.1525,39.768,860,0,0.0,0,0.0,0,0.0,860,1.0,22,0,0.0,0,0.0,0,0.0,22,1.0
-86.1525,39.7685,1242,0,0.0,0,0.0,0,0.0,1242,1.0,9,0,0.0,0,0.0,0,0.0,9,1.0
-86.1525,39.769,641,0,0.0,0,0.0,0,0.0,641,1.0,14,0,0.0,0,0.0,0,0.0,14,1.0
-86.1525,39.7695,1041,0,0.0,0,0.0,0,0.0,1041,1.0,12,0,0.0,0,0.0,0,0.0,12,1.0
-86.1525,39.77,1300,0,0.0,0,0.0,0,0.0,1300,1.0,17,0,0.0,0,0.0,0,0.0,17,1.0
-86.1525,39.7705,597,0,0.0,0,0.0,0,0.0,597,1.0,14,0,0.0,0,0.0,0,0.0,14,1.0
-86.1525,39.771,2757,0,0.0,0,0.0,0,0.0,2757,1.0,25,0,0.0,0,0.0,0,0.0,25,1.0
-86.1525,39.7715,168,0,0.0,0,0.0,0,0.0,168,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.1525,39.772,152,0,0.0,0,0.0,0,0.0,152,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.1525,39.7725,262,0,0.0,0,0.0,0,0.0,262,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
-86.152,39.7705,55,0,0.0,0,0.0,0,0.0,55,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.152,39.771,448,0,0.0,0,0.0,0,0.0,448,1.0,3,0,0.0,0,0.0,0,0.0,3,1.0
-86.152,39.7715,47,0,0.0,0,0.0,0,0.0,47,1.0,1,0,0.0,0,0.0,0,0.0,1,1.0
-86.152,39.772,63,0,0.0,0,0.0,0,0.0,63,1.0,2,0,0.0,0,0.0,0,0.0,2,1.0
