region,type,cell_set_num,instance_number,duration_sample_number,cell_set_ratio,instance_ratio,duration_sample_ratio
A-R1,LTE+5GS,2492,10576,2096213,0.43857796550510386,0.2663241922892901,0.33925419565921755
A-R1,LTE+5GM,1356,5969,1201453,0.23864836325237593,0.15031099695298533,0.19444492097766491
A-R1,5GS_SA,0,0,0,0.0,0.0,0.0
A-R1,LTE,1834,23166,2881220,0.32277367124252027,0.5833648107577245,0.46630088336311754
A-R2,LTE+5GS,500,1461,192025,0.4336513443191674,0.174635429117858,0.18286005408905648
A-R2,LTE+5GM,234,1526,197909,0.20294882914137033,0.18240497250776955,0.1884632232506761
A-R2,5GS_SA,0,0,0,0.0,0.0,0.0
A-R2,LTE,419,5379,660186,0.3633998265394623,0.6429595983743724,0.6286767226602674
A-R3,LTE+5GS,2122,8907,1284702,0.6996373227827234,0.4272557202475176,0.4457593250367013
A-R3,LTE+5GM,168,808,111682,0.05539070227497527,0.03875857437520986,0.03875084878730544
A-R3,5GS_SA,0,0,0,0.0,0.0,0.0
A-R3,LTE,743,11132,1485669,0.24497197494230136,0.5339857053772725,0.5154898261759933
A-R4,LTE+5GS,574,5113,772320,0.7852257181942545,0.5483697983697984,0.7626300229286683
A-R4,LTE+5GM,0,0,0,0.0,0.0,0.0
A-R4,5GS_SA,0,0,0,0.0,0.0,0.0
A-R4,LTE,157,4211,240386,0.21477428180574556,0.4516302016302016,0.23736997707133167
A-R5,LTE+5GS,930,2551,371054,0.6142668428005285,0.380008937881722,0.3851165300964727
A-R5,LTE+5GM,143,359,45905,0.09445178335535007,0.05347832563682407,0.04764474797220507
A-R5,5GS_SA,0,0,0,0.0,0.0,0.0
A-R5,LTE,441,3803,546526,0.2912813738441215,0.566512736481454,0.5672387219313222
V-R6,LTE+5GS,792,4784,774429,0.39739086803813345,0.3471194311420694,0.3113423845987778
V-R6,LTE+5GM,506,1524,354268,0.25388861013547415,0.11057901610796692,0.14242576647702992
V-R6,5GS_SA,0,0,0,0.0,0.0,0.0
V-R6,LTE,695,7474,1358690,0.34872052182639235,0.5423015527499637,0.5462318489241923
V-R7,LTE+5GS,224,1478,167149,0.39646017699115044,0.42840579710144927,0.3676319215948481
V-R7,LTE+5GM,73,152,14540,0.12920353982300886,0.044057971014492756,0.031979659704749
V-R7,5GS_SA,0,0,0,0.0,0.0,0.0
V-R7,LTE,268,1820,272975,0.4743362831858407,0.527536231884058,0.6003884187004029
V-R8,LTE+5GS,39,357,71700,0.3305084745762712,0.5007012622720898,0.47444482676477595
V-R8,LTE+5GM,9,17,2241,0.07627118644067797,0.023842917251051893,0.014828882242396972
V-R8,5GS_SA,0,0,0,0.0,0.0,0.0
V-R8,LTE,70,339,77183,0.5932203389830508,0.47545582047685836,0.5107262909928271
V-R9,LTE+5GS,509,2737,380027,0.24720738222438077,0.25529334950097937,0.23428462573224157
V-R9,LTE+5GM,711,1564,217681,0.345313258863526,0.14588191400055964,0.13419917956887295
V-R9,5GS_SA,0,0,0,0.0,0.0,0.0
V-R9,LTE,839,6420,1024366,0.40747935891209325,0.598824736498461,0.6315161946988855
V-R10,LTE+5GS,503,2840,241494,0.47722960151802657,0.48788867892114757,0.5380942301050591
V-R10,LTE+5GM,199,419,54505,0.1888045540796964,0.07198075931970452,0.12144743145534152
V-R10,5GS_SA,0,0,0,0.0,0.0,0.0
V-R10,LTE,352,2562,152796,0.33396584440227706,0.4401305617591479,0.3404583384395994
V-R11,LTE+5GS,444,3467,464285,0.4114921223354958,0.5553419830209835,0.5080732971115598
V-R11,LTE+5GM,200,353,59758,0.18535681186283595,0.056543328527951305,0.06539398018198432
V-R11,5GS_SA,0,0,0,0.0,0.0,0.0
V-R11,LTE,435,2423,389772,0.4031510658016682,0.38811468845106517,0.4265327227064559
T-R12,LTE+5GS,430,3090,1023481,0.8793456032719836,0.6234866828087167,0.8189204132204293
T-R12,LTE+5GM,0,0,0,0.0,0.0,0.0
T-R12,5GS_SA,0,0,0,0.0,0.0,0.0
T-R12,LTE,59,1866,226312,0.12065439672801637,0.3765133171912833,0.1810795867795707
T-R13,LTE+5GS,437,1612,285310,0.739424703891709,0.4896719319562576,0.5795967951634922
T-R13,LTE+5GM,0,0,0,0.0,0.0,0.0
T-R13,5GS_SA,2,2,6721,0.00338409475465313,0.0006075334143377885,0.0136534648638107
T-R13,LTE,152,1678,200225,0.2571912013536379,0.5097205346294046,0.40674973997269714
